%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463502540357708741,598,1463502540312253899,,1529.0,1380.0
1463502540357851136,599,1463502540322740958,,1529.0,1380.0
1463502540357935563,600,1463502540333046350,,1530.0,1380.0
1463502540358040980,601,1463502540342770598,,1530.0,1380.0
1463502540358075511,602,1463502540352311201,,1530.0,1380.0
1463502540364402944,603,1463502540362545136,,1530.0,1380.0
1463502540373706880,604,1463502540372152353,,1530.0,1620.0
1463502540384197116,605,1463502540382523214,,1530.0,1620.0
1463502540398265469,606,1463502540392324493,,1530.0,1620.0
1463502540403694831,607,1463502540402185095,,1530.0,1620.0
1463502540413605329,608,1463502540412221218,,1530.0,1620.0
1463502540423598795,609,1463502540422165674,,1530.0,1620.0
1463502540436430119,610,1463502540432177681,,1530.0,1620.0
1463502540445817441,611,1463502540442427762,,1530.0,1620.0
1463502540455006639,612,1463502540452313364,,1530.0,1620.0
1463502540465958019,613,1463502540462144382,,1530.0,1620.0
1463502540474128938,614,1463502540472202900,,1530.0,1620.0
1463502540488253019,615,1463502540482734230,,1530.0,1620.0
1463502540494570713,616,1463502540492188687,,1530.0,1380.0
1463502540504165013,617,1463502540502153976,,1530.0,1380.0
1463502540514099782,618,1463502540512159474,,1530.0,1380.0
1463502540524137936,619,1463502540522367575,,1530.0,1380.0
1463502540534136975,620,1463502540532342135,,1530.0,1620.0
1463502540545275126,621,1463502540542209768,,1530.0,1620.0
1463502540554258126,622,1463502540552350578,,1530.0,1620.0
1463502540564883778,623,1463502540562578575,,1530.0,1620.0
1463502540574308912,624,1463502540572318396,,1530.0,1620.0
1463502540584391284,625,1463502540582316862,,1530.0,1620.0
1463502540594341574,626,1463502540592327047,,1530.0,1620.0
1463502540605139257,627,1463502540602452857,,1530.0,1620.0
1463502540615848242,628,1463502540612287938,,1530.0,1620.0
1463502540624452233,629,1463502540622520466,,1530.0,1620.0
1463502540635791008,630,1463502540632598516,,1530.0,1620.0
1463502540644721769,631,1463502540642529795,,1531.0,1620.0
1463502540654831224,632,1463502540652630813,,1531.0,1620.0
1463502540669724471,633,1463502540667997496,,1531.0,1620.0
1463502540674240606,634,1463502540672382381,,1531.0,1620.0
1463502540684385114,635,1463502540682448503,,1531.0,1620.0
1463502540694214778,636,1463502540692308428,,1530.0,1620.0
1463502540704039547,637,1463502540702137572,,1530.0,1620.0
1463502540714360877,638,1463502540712381715,,1529.0,1620.0
1463502540724386218,639,1463502540722500493,,1529.0,1620.0
1463502540734644684,640,1463502540732395626,,1530.0,1380.0
1463502540745072836,641,1463502540742407634,,1530.0,1380.0
1463502540754668960,642,1463502540752359642,,1530.0,1380.0
1463502540764171542,643,1463502540762218213,,1530.0,1380.0
1463502540774287352,644,1463502540772382929,,1530.0,1620.0
1463502540784226703,645,1463502540782311708,,1529.0,1620.0
1463502540797165527,646,1463502540792680590,,1529.0,1620.0
1463502540806771859,647,1463502540802860254,,1529.0,1620.0
1463502540814387154,648,1463502540812393617,,1529.0,1380.0
1463502540824224735,649,1463502540822519166,,1530.0,1380.0
1463502540833858306,650,1463502540832161175,,1530.0,1380.0
1463502540843954220,651,1463502540842210735,,1530.0,1380.0
1463502540854012738,652,1463502540852308107,,1530.0,1620.0
1463502540863975371,653,1463502540862227563,,1530.0,1620.0
1463502540874013629,654,1463502540872317123,,1529.0,1620.0
1463502540884122876,655,1463502540882409599,,1529.0,1620.0
1463502540894044676,656,1463502540892363586,,1530.0,1380.0
1463502540903909966,657,1463502540902202105,,1530.0,1380.0
1463502540914064421,658,1463502540912314998,,1530.0,1380.0
1463502540923976377,659,1463502540922238517,,1530.0,1380.0
1463502540934051718,660,1463502540932369951,,1530.0,1380.0
1463502540943982789,661,1463502540942237637,,1530.0,1380.0
1463502540953999484,662,1463502540952292144,,1530.0,1380.0
1463502540964063367,663,1463502540962260819,,1530.0,1380.0
1463502540973924021,664,1463502540972166369,,1530.0,1380.0
1463502540984002487,665,1463502540982187283,,1529.0,1380.0
1463502540993865329,666,1463502540992158926,,1529.0,1380.0
1463502541003989940,667,1463502541002215153,,1529.0,1380.0
1463502541014039031,668,1463502541012161953,,1530.0,1620.0
