%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1464970830867824977,321,1464970830863645302,,0.0,0.0
1464970830885736436,322,1464970830883655140,,0.0,0.0
1464970830906060179,323,1464970830903645186,,0.0,0.0
1464970830927862304,324,1464970830923669816,,0.0,0.0
1464970830946241157,325,1464970830943670071,,0.0,0.0
1464970830965171728,326,1464970830963699284,,0.0,0.0
1464970830986633957,327,1464970830983816361,,0.0,0.0
1464970831005990203,328,1464970831003834845,,0.0,0.0
1464970831029434771,329,1464970831024270932,,0.0,0.0
1464970831047413157,330,1464970831043873375,,0.0,0.0
1464970831070960797,331,1464970831063788422,,0.0,0.0
1464970831090848031,332,1464970831083732844,,0.0,0.0
1464970831109163812,333,1464970831103647682,,0.0,0.0
1464970831131818069,334,1464970831123674239,,0.0,0.0
1464970831150382495,335,1464970831143664598,,0.0,0.0
1464970831172488994,336,1464970831163710217,,0.0,0.0
1464970831197176839,337,1464970831183667920,,0.0,0.0
1464970831216194388,338,1464970831203666820,,0.0,0.0
1464970831234709178,339,1464970831223636190,,0.0,0.0
1464970831254263862,340,1464970831243682434,,0.0,0.0
1464970831271886779,341,1464970831263650137,,0.0,0.0
1464970831292535366,342,1464970831283672787,,0.0,0.0
1464970831311311145,343,1464970831304319759,,0.0,0.0
1464970831328920886,344,1464970831323676265,,0.0,0.0
1464970831350262543,345,1464970831343732926,,0.0,0.0
1464970831369561445,346,1464970831363851566,,0.0,0.0
1464970831388258266,347,1464970831383863383,,0.0,0.0
1464970831407638054,348,1464970831403918013,,0.0,0.0
1464970831427958568,349,1464970831423803164,,0.0,0.0
1464970831449757620,350,1464970831443911074,,0.0,0.0
1464970831468478972,351,1464970831464020912,,0.0,0.0
1464970831489571047,352,1464970831483663460,,0.0,0.0
1464970831506841466,353,1464970831503644235,,0.0,0.0
1464970831526489846,354,1464970831523870948,,0.0,0.0
1464970831550808682,355,1464970831543691515,,0.0,0.0
1464970831566297284,356,1464970831563624427,,0.0,0.0
1464970831588688365,357,1464970831583645358,,0.0,0.0
1464970831607840497,358,1464970831603647801,,0.0,0.0
1464970831626005236,359,1464970831623642066,,0.0,0.0
1464970831646833145,360,1464970831643678831,,0.0,0.0
1464970831666472098,361,1464970831663836377,,0.0,0.0
1464970831686622301,362,1464970831683688351,,0.0,0.0
1464970831707154116,363,1464970831703676626,,0.0,0.0
1464970831727608953,364,1464970831723777818,,0.0,0.0
1464970831750861751,365,1464970831743723021,,0.0,0.0
1464970831766618580,366,1464970831763776870,,0.0,0.0
1464970831786875761,367,1464970831783663479,,0.0,0.0
1464970831806136539,368,1464970831803667119,,0.0,0.0
1464970831826856427,369,1464970831823655238,,0.0,0.0
1464970831846914963,370,1464970831843676274,,0.0,0.0
1464970831866843916,371,1464970831863659706,,0.0,0.0
1464970831886783806,372,1464970831883668555,,0.0,0.0
1464970831907140883,373,1464970831903784851,,0.0,0.0
1464970831926226036,374,1464970831923634533,,0.0,0.0
1464970831946876914,375,1464970831943664371,,0.0,0.0
1464970831967010502,376,1464970831963767230,,0.0,0.0
1464970831985832947,377,1464970831983766964,,0.0,0.0
1464970832006460908,378,1464970832003819041,,0.0,0.0
1464970832025648249,379,1464970832023732682,,0.0,0.0
1464970832046264908,380,1464970832043763197,,0.0,0.0
1464970832068217553,381,1464970832063824753,,0.0,0.0
1464970832093920656,382,1464970832084959536,,0.0,0.0
1464970832110345088,383,1464970832103991304,,0.0,0.0
1464970832128340088,384,1464970832123774528,,0.0,0.0
1464970832149866224,385,1464970832143751241,,0.0,0.0
1464970832166605029,386,1464970832163846392,,0.0,0.0
1464970832187634448,387,1464970832183968208,,0.0,0.0
1464970832210656152,388,1464970832204339295,,0.0,0.0
1464970832230176304,389,1464970832223665802,,0.0,0.0
1464970832254661233,390,1464970832243671578,,0.0,0.0
1464970832269161712,391,1464970832263692457,,0.0,0.0
1464970832286684683,392,1464970832283669379,,0.0,0.0
1464970832306779781,393,1464970832303683071,,0.0,0.0
1464970832326743630,394,1464970832323665409,,0.0,0.0
1464970832346861749,395,1464970832343725351,,0.0,0.0
1464970832366180026,396,1464970832363657585,,0.0,0.0
1464970832388236733,397,1464970832383656590,,0.0,0.0
1464970832406749128,398,1464970832403699345,,0.0,0.0
1464970832431247547,399,1464970832423697464,,0.0,0.0
1464970832451412228,400,1464970832443919020,,0.0,0.0
1464970832468694782,401,1464970832464283128,,0.0,0.0
1464970832486619887,402,1464970832483782291,,0.0,0.0
1464970832513175435,403,1464970832503785775,,0.0,0.0
1464970832529573044,404,1464970832523685196,,0.0,0.0
1464970832548184032,405,1464970832544666907,,0.0,0.0
1464970832566523770,406,1464970832563718310,,0.0,0.0
1464970832586464963,407,1464970832583681533,,0.0,0.0
1464970832606629853,408,1464970832603657570,,0.0,0.0
1464970832629429839,409,1464970832623641001,,0.0,0.0
1464970832647208902,410,1464970832643873235,,0.0,0.0
1464970832668886860,411,1464970832663674844,,0.0,0.0
1464970832687909878,412,1464970832683820723,,0.0,0.0
1464970832707021750,413,1464970832704141550,,0.0,0.0
1464970832728748146,414,1464970832723850295,,0.0,0.0
1464970832746730854,415,1464970832743916696,,0.0,0.0
1464970832766078663,416,1464970832763712576,,0.0,0.0
1464970832786403084,417,1464970832783852414,,0.0,0.0
1464970832809523225,418,1464970832803813398,,0.0,0.0
1464970832827027810,419,1464970832823748340,,0.0,0.0
1464970832847050721,420,1464970832843874584,,0.0,0.0
1464970832866796029,421,1464970832863750204,,0.0,0.0
1464970832887141282,422,1464970832883884885,,0.0,0.0
1464970832906766382,423,1464970832903666182,,0.0,0.0
1464970832925952681,424,1464970832923653000,,0.0,0.0
1464970832949250113,425,1464970832943659244,,0.0,0.0
1464970832968754432,426,1464970832963663926,,0.0,0.0
1464970832986751932,427,1464970832983827618,,0.0,0.0
1464970833008978795,428,1464970833003677769,,0.0,0.0
1464970833034286691,429,1464970833023823492,,0.0,0.0
1464970833051841640,430,1464970833044000256,,0.0,0.0
1464970833073932566,431,1464970833065865818,,0.0,0.0
1464970833095448545,432,1464970833085553366,,0.0,0.0
1464970833109100693,433,1464970833104375915,,0.0,0.0
1464970833129086573,434,1464970833126823246,,0.0,0.0
1464970833149703805,435,1464970833143867676,,0.0,0.0
1464970833170513849,436,1464970833164016629,,0.0,0.0
1464970833188177809,437,1464970833184148550,,0.0,0.0
1464970833205860049,438,1464970833203684952,,0.0,0.0
1464970833226533636,439,1464970833223677498,,0.0,0.0
1464970833246591546,440,1464970833243643482,,0.0,0.0
1464970833266628416,441,1464970833263691289,,0.0,0.0
1464970833287565074,442,1464970833283647429,,0.0,0.0
1464970833306367051,443,1464970833303652528,,0.0,0.0
1464970833327964957,444,1464970833323654709,,0.0,0.0
1464970833346547456,445,1464970833343805797,,0.0,0.0
1464970833366483700,446,1464970833363657875,,0.0,0.0
1464970833386914891,447,1464970833383661672,,0.0,0.0
1464970833407340041,448,1464970833404459320,,0.0,0.0
1464970833426875766,449,1464970833424017440,,0.0,0.0
1464970833447386852,450,1464970833444563735,,0.0,0.0
1464970833466575859,451,1464970833464424199,,0.0,0.0
1464970833495152131,452,1464970833483721018,,0.0,0.0
1464970833509224069,453,1464970833503674763,,0.0,0.0
1464970833529898697,454,1464970833523672049,,0.0,0.0
1464970833550408742,455,1464970833543643085,,0.0,0.0
1464970833571008006,456,1464970833563670266,,0.0,0.0
1464970833590552116,457,1464970833583660677,,0.0,0.0
1464970833614597932,458,1464970833603659578,,0.0,0.0
1464970833628510912,459,1464970833623659520,,0.0,0.0
1464970833647951950,460,1464970833643678317,,0.0,0.0
1464970833672451306,461,1464970833663675863,,0.0,0.0
1464970833690098026,462,1464970833684078356,,0.0,0.0
1464970833708134953,463,1464970833703659185,,0.0,0.0
1464970833728020261,464,1464970833723662148,,0.0,0.0
1464970833749173220,465,1464970833744083443,,0.0,0.0
1464970833768645039,466,1464970833764057917,,0.0,0.0
1464970833790926694,467,1464970833784205098,,0.0,0.0
1464970833807734926,468,1464970833804069676,,0.0,0.0
1464970833829957206,469,1464970833824420711,,0.0,0.0
1464970833848189080,470,1464970833843710812,,0.0,0.0
1464970833868932250,471,1464970833863683046,,0.0,0.0
1464970833886814229,472,1464970833884011477,,0.0,0.0
1464970833908415990,473,1464970833904045221,,0.0,0.0
1464970833930882123,474,1464970833923675894,,0.0,0.0
1464970833948019209,475,1464970833943666825,,0.0,0.0
1464970833967234830,476,1464970833964058798,,0.0,0.0
1464970833986748680,477,1464970833984066292,,0.0,0.0
1464970834007205861,478,1464970834003966391,,0.0,0.0
1464970834027152470,479,1464970834024021073,,0.0,0.0
1464970834047871785,480,1464970834043661485,,0.0,0.0
1464970834067635895,481,1464970834063674343,,0.0,0.0
1464970834087350213,482,1464970834083648869,,0.0,0.0
1464970834108207079,483,1464970834103668916,,0.0,0.0
1464970834127839992,484,1464970834123650785,,0.0,0.0
1464970834147560560,485,1464970834143676248,,0.0,0.0
1464970834170038776,486,1464970834163684732,,0.0,0.0
1464970834188292369,487,1464970834184627796,,0.0,0.0
1464970834207804136,488,1464970834203953418,,0.0,0.0
1464970834227565172,489,1464970834224817420,,0.0,0.0
1464970834247739489,490,1464970834244248978,,0.0,0.0
1464970834270742027,491,1464970834266169957,,0.0,0.0
1464970834289999471,492,1464970834286901199,,0.0,0.0
1464970834310841755,493,1464970834303685213,,0.0,0.0
1464970834326679053,494,1464970834323663593,,0.0,0.0
1464970834350192370,495,1464970834343624629,,0.0,0.0
1464970834367150915,496,1464970834363670613,,0.0,0.0
1464970834388438302,497,1464970834383656076,,0.0,0.0
1464970834407411945,498,1464970834403654195,,0.0,0.0
1464970834426782826,499,1464970834423661377,,0.0,0.0
1464970834446399853,500,1464970834443657517,,0.0,0.0
1464970834471140823,501,1464970834463701678,,0.0,0.0
1464970834485754844,502,1464970834483989849,,0.0,0.0
1464970834506275513,503,1464970834503795260,,0.0,0.0
1464970834527536337,504,1464970834524774470,,0.0,0.0
1464970834547138468,505,1464970834543752020,,0.0,0.0
1464970834567295441,506,1464970834563815347,,0.0,0.0
1464970834586562052,507,1464970834583728779,,0.0,0.0
1464970834607186889,508,1464970834603734711,,0.0,0.0
1464970834628863441,509,1464970834623610070,,0.0,0.0
1464970834647707761,510,1464970834643638606,,0.0,0.0
1464970834666445311,511,1464970834663655840,,0.0,0.0
1464970834686463795,512,1464970834683649220,,0.0,0.0
